W0428 13:33:04.937000 148385 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50257
Parameters: 67,624,520  (67.6M)
Architecture: prelude=2 + core×1 + coda=2
Novel: TopicConditioned FFN (8 topics, embed_dim=64)
Novel: Verification loss mult = 3.0x
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s
Topic token mapping: 8 topics registered

step 0071 (0.9%) | lm: 4.6622 | topic: 1.409 | lr: 5.31e-04 | tok/s: 66,757 | vram: 4372MB | remain: 1784s   
step 0072 (0.9%) | lm: 4.6092 | topic: 1.416 | lr: 5.39e-04 | tok/s: 66,616 | vram: 4372MB | remain: 1784s   
step 0073 (0.9%) | lm: 4.5364 | topic: 1.274 | lr: 5.47e-04 | tok/s: 66,704 | vram: 4372MB | remain: 1783s   
step 0074 (0.9%) | lm: 4.4763 | topic: 1.294 | lr: 5.55e-04 | tok/s: 66,819 | vram: 4372MB | remain: 1783s   
step 0075 (0.9%) | lm: 4.4115 | topic: 1.309 | lr: 5.63e-04 | tok/s: 66,125 | vram: 4372MB | remain: 1783s   
step 0076 (1.0%) | lm: 4.3462 | topic: 1.178 | lr: 5.72e-04 | tok/s: 67,050 | vram: 4372MB | remain: 1783s   
step 0077 (1.0%) | lm: 4.2896 | topic: 1.195 | lr: 5.80e-04 | tok/s: 66,640 | vram: 4372MB | remain: 1782s   
step 0078 (1.0%) | lm: 4.2547 | topic: 1.244 | lr: 5.88e-04 | tok/s: 66,630 | vram: 4372MB | remain: 1782s   
step 0079 (1.0%) | lm: 4.2023 | topic: 1.281 | lr: 5.96e-04 | tok/s: 65,802 | vram: 4372MB | remain: 1782s   
step 0080 (1.0%) | lm: 4.1780 | topic: 1.314 | lr: 6.05e-04 | tok/s: 66,666 | vram: 4372MB | remain: 1782s   
step 0081 (1.0%) | lm: 4.1452 | topic: 1.302 | lr: 6.13e-04 | tok/s: 67,004 | vram: 4372MB | remain: 1781s   
