W0428 12:20:17.796000 110737 .venv/lib/python3.13/site-packages/torch/_inductor/utils.py:1731] [0/0] Not enough SMs to use max_autotune_gemm mode
Vocab size: 50,257
Parameters: 67,213,824  (67.2M)
Architecture: prelude=2 + core×1 + coda=2
MoE: False  |  LTI: False  |  LoRA: 0  |  GradCkpt: True
Batch: 16×512 | accum: 2 | 16,384 tok/step
Time budget: 1800s

step 0063 (0.7%) | loss: 5.4005 | lr: 4.43e-04 | dt: 232ms | tok/s: 70,536 | vram: 2039MB | remain: 1786s   
step 0064 (0.8%) | loss: 5.3606 | lr: 4.50e-04 | dt: 236ms | tok/s: 69,463 | vram: 2039MB | remain: 1786s   
step 0065 (0.8%) | loss: 5.2571 | lr: 4.58e-04 | dt: 232ms | tok/s: 70,520 | vram: 2039MB | remain: 1786s   
step 0066 (0.8%) | loss: 5.1749 | lr: 4.66e-04 | dt: 232ms | tok/s: 70,543 | vram: 2039MB | remain: 1786s   
step 0067 (0.8%) | loss: 5.1077 | lr: 4.74e-04 | dt: 234ms | tok/s: 70,127 | vram: 2039MB | remain: 1786s   
step 0068 (0.8%) | loss: 5.0244 | lr: 4.81e-04 | dt: 235ms | tok/s: 69,678 | vram: 2039MB | remain: 1785s   
step 0069 (0.8%) | loss: 4.9607 | lr: 4.89e-04 | dt: 233ms | tok/s: 70,376 | vram: 2039MB | remain: 1785s   
step 0070 (0.8%) | loss: 4.8727 | lr: 4.97e-04 | dt: 237ms | tok/s: 69,275 | vram: 2039MB | remain: 1785s   
step 0071 (0.8%) | loss: 4.8340 | lr: 5.05e-04 | dt: 233ms | tok/s: 70,462 | vram: 2039MB | remain: 1785s   
step 0072 (0.9%) | loss: 4.7610 | lr: 5.13e-04 | dt: 237ms | tok/s: 69,221 | vram: 2039MB | remain: 1784s   
step 0073 (0.9%) | loss: 4.7233 | lr: 5.21e-04 | dt: 235ms | tok/s: 69,823 | vram: 2039MB | remain: 1784s   
step 0074 (0.9%) | loss: 4.6855 | lr: 5.28e-04 | dt: 235ms | tok/s: 69,711 | vram: 2039MB | remain: 1784s   
step 0075 (0.9%) | loss: 4.6203 | lr: 5.36e-04 | dt: 236ms | tok/s: 69,513 | vram: 2039MB | remain: 1784s   
step 0076 (0.9%) | loss: 4.5627 | lr: 5.44e-04 | dt: 234ms | tok/s: 70,113 | vram: 2039MB | remain: 1783s   
step 0077 (0.9%) | loss: 4.5108 | lr: 5.52e-04 | dt: 233ms | tok/s: 70,333 | vram: 2039MB | remain: 1783s   
step 0078 (0.9%) | loss: 4.4364 | lr: 5.60e-04 | dt: 235ms | tok/s: 69,678 | vram: 2039MB | remain: 1783s   
step 0079 (0.9%) | loss: 4.3786 | lr: 5.68e-04 | dt: 234ms | tok/s: 70,035 | vram: 2039MB | remain: 1783s   
step 0080 (1.0%) | loss: 4.3300 | lr: 5.75e-04 | dt: 232ms | tok/s: 70,522 | vram: 2039MB | remain: 1783s   
step 0081 (1.0%) | loss: 4.2694 | lr: 5.83e-04 | dt: 237ms | tok/s: 69,207 | vram: 2039MB | remain: 1782s   
step 0082 (1.0%) | loss: 4.2281 | lr: 5.91e-04 | dt: 235ms | tok/s: 69,614 | vram: 2039MB | remain: 1782s   
step 0083 (1.0%) | loss: 4.1668 | lr: 5.99e-04 | dt: 234ms | tok/s: 69,897 | vram: 2039MB | remain: 1782s   
step 0084 (1.0%) | loss: 4.1457 | lr: 6.07e-04 | dt: 232ms | tok/s: 70,683 | vram: 2039MB | remain: 1782s   
step 0085 (1.0%) | loss: 4.0890 | lr: 6.14e-04 | dt: 235ms | tok/s: 69,836 | vram: 2039MB | remain: 1781s   
step 0086 (1.0%) | loss: 4.0608 | lr: 6.22e-04 | dt: 233ms | tok/s: 70,325 | vram: 2039MB | remain: 1781s   
step 0087 (1.0%) | loss: 4.0352 | lr: 6.30e-04 | dt: 236ms | tok/s: 69,364 | vram: 2039MB | remain: 1781s   
step 0088 (1.1%) | loss: 4.0412 | lr: 6.38e-04 | dt: 235ms | tok/s: 69,693 | vram: 2039MB | remain: 1781s   
step 0089 (1.1%) | loss: 4.0224 | lr: 6.46e-04 | dt: 236ms | tok/s: 69,567 | vram: 2039MB | remain: 1780s   
step 0090 (1.1%) | loss: 4.0088 | lr: 6.53e-04 | dt: 232ms | tok/s: 70,510 | vram: 2039MB | remain: 1780s   
step 0091 (1.1%) | loss: 3.9783 | lr: 6.61e-04 | dt: 235ms | tok/s: 69,801 | vram: 2039MB | remain: 1780s   
step 0092 (1.1%) | loss: 3.9414 | lr: 6.69e-04 | dt: 234ms | tok/s: 70,046 | vram: 2039MB | remain: 1780s   
step 0093 (1.1%) | loss: 3.8977 | lr: 6.77e-04 | dt: 235ms | tok/s: 69,750 | vram: 2039MB | remain: 1779s   
step 0094 (1.1%) | loss: 3.8628 | lr: 6.85e-04 | dt: 234ms | tok/s: 69,985 | vram: 2039MB | remain: 1779s   
step 0095 (1.2%) | loss: 3.8286 | lr: 6.92e-04 | dt: 236ms | tok/s: 69,539 | vram: 2039MB | remain: 1779s   
step 0096 (1.2%) | loss: 3.8194 | lr: 7.00e-04 | dt: 234ms | tok/s: 70,012 | vram: 2039MB | remain: 1779s   
step 0097 (1.2%) | loss: 3.7818 | lr: 7.08e-04 | dt: 231ms | tok/s: 71,027 | vram: 2039MB | remain: 1779s   
step 0098 (1.2%) | loss: 3.7639 | lr: 7.16e-04 | dt: 236ms | tok/s: 69,288 | vram: 2039MB | remain: 1778s   
step 0099 (1.2%) | loss: 3.7369 | lr: 7.24e-04 | dt: 235ms | tok/s: 69,642 | vram: 2039MB | remain: 1778s   
step 0100 (1.2%) | loss: 3.7158 | lr: 7.32e-04 | dt: 232ms | tok/s: 70,714 | vram: 2039MB | remain: 1778s   
step 0101 (1.2%) | loss: 3.6967 | lr: 7.39e-04 | dt: 234ms | tok/s: 69,910 | vram: 2039MB | remain: 1778s   
step 0102 (1.2%) | loss: 3.6913 | lr: 7.47e-04 | dt: 234ms | tok/s: 69,994 | vram: 2039MB | remain: 1777s   
step 0103 (1.3%) | loss: 3.6517 | lr: 7.55e-04 | dt: 233ms | tok/s: 70,288 | vram: 2039MB | remain: 1777s   
step 0104 (1.3%) | loss: 3.6139 | lr: 7.63e-04 | dt: 235ms | tok/s: 69,605 | vram: 2039MB | remain: 1777s   
step 0105 (1.3%) | loss: 3.5863 | lr: 7.71e-04 | dt: 234ms | tok/s: 69,923 | vram: 2039MB | remain: 1777s   
step 0106 (1.3%) | loss: 3.5764 | lr: 7.78e-04 | dt: 233ms | tok/s: 70,430 | vram: 2039MB | remain: 1776s   
step 0107 (1.3%) | loss: 3.5502 | lr: 7.86e-04 | dt: 236ms | tok/s: 69,317 | vram: 2039MB | remain: 1776s   
step 0108 (1.3%) | loss: 3.5198 | lr: 7.94e-04 | dt: 235ms | tok/s: 69,746 | vram: 2039MB | remain: 1776s   
step 0109 (1.3%) | loss: 3.4707 | lr: 8.02e-04 | dt: 234ms | tok/s: 70,087 | vram: 2039MB | remain: 1776s   
step 0110 (1.3%) | loss: 3.4428 | lr: 8.10e-04 | dt: 237ms | tok/s: 69,094 | vram: 2039MB | remain: 1775s   
step 0111 (1.4%) | loss: 3.4452 | lr: 8.17e-04 | dt: 234ms | tok/s: 70,142 | vram: 2039MB | remain: 1775s   
step 0112 (1.4%) | loss: 3.4352 | lr: 8.25e-04 | dt: 234ms | tok/s: 70,090 | vram: 2039MB | remain: 1775s   
step 0113 (1.4%) | loss: 3.4301 | lr: 8.33e-04 | dt: 236ms | tok/s: 69,548 | vram: 2039MB | remain: 1775s   
step 0114 (1.4%) | loss: 3.4371 | lr: 8.41e-04 | dt: 235ms | tok/s: 69,807 | vram: 2039MB | remain: 1775s   
step 0115 (1.4%) | loss: 3.4239 | lr: 8.49e-04 | dt: 232ms | tok/s: 70,630 | vram: 2039MB | remain: 1774s   
step 0116 (1.4%) | loss: 3.4100 | lr: 8.56e-04 | dt: 237ms | tok/s: 69,159 | vram: 2039MB | remain: 1774s   
step 0117 (1.4%) | loss: 3.4173 | lr: 8.64e-04 | dt: 234ms | tok/s: 69,949 | vram: 2039MB | remain: 1774s   
step 0118 (1.5%) | loss: 3.3818 | lr: 8.72e-04 | dt: 237ms | tok/s: 69,218 | vram: 2039MB | remain: 1774s   
step 0119 (1.5%) | loss: 3.3503 | lr: 8.80e-04 | dt: 236ms | tok/s: 69,505 | vram: 2039MB | remain: 1773s   
step 0120 (1.5%) | loss: 3.3435 | lr: 8.88e-04 | dt: 234ms | tok/s: 69,906 | vram: 2039MB | remain: 1773s   
step 0121 (1.5%) | loss: 3.3306 | lr: 8.96e-04 | dt: 236ms | tok/s: 69,313 | vram: 2039MB | remain: 1773s   
step 0122 (1.5%) | loss: 3.3179 | lr: 9.04e-04 | dt: 237ms | tok/s: 69,175 | vram: 2039MB | remain: 1773s   
step 0123 (1.5%) | loss: 3.3007 | lr: 9.12e-04 | dt: 234ms | tok/s: 70,128 | vram: 2039MB | remain: 1772s   
step 0124 (1.5%) | loss: 3.3294 | lr: 9.19e-04 | dt: 236ms | tok/s: 69,507 | vram: 2039MB | remain: 1772s   
step 0125 (1.5%) | loss: 3.3073 | lr: 9.27e-04 | dt: 235ms | tok/s: 69,838 | vram: 2039MB | remain: 1772s   
step 0126 (1.6%) | loss: 3.3019 | lr: 9.35e-04 | dt: 231ms | tok/s: 70,907 | vram: 2039MB | remain: 1772s   
step 0127 (1.6%) | loss: 3.2992 | lr: 9.43e-04 | dt: 235ms | tok/s: 69,677 | vram: 2039MB | remain: 1771s   
